"","Name","Tag","fips_code","total_requests","average_response_time","total_requesters"
"1","Atlantic","AtlanticCounty","34001",555,12.18,104
"2","Bergen","BergenCounty","34003",1284,10.47,158
"3","Burlington","BurlingtonCounty","34005",744,10.11,98
"4","Camden","CamdenCounty","34007",866,12.97,111
"5","Cape May","CapeMayCounty","34009",332,8.4,41
"6","Cumberland","CumberlandCounty","34011",170,7.14,23
"7","Essex","EssexCounty","34013",747,13.52,127
"8","Gloucester","GloucesterCounty","34015",470,10.2,66
"9","Hudson","HudsonCounty","34017",300,16.54,68
"10","Hunterdon","HunterdonCounty","34019",220,6.93,31
"11","Mercer","MercerCounty","34021",372,12.29,77
"12","Monmouth","MonmouthCounty","34025",2124,12.43,218
"13","Ocean","OceanCounty","34029",2540,12.18,428
"14","Passaic","PassaicCounty","34031",305,13.61,62
"15","Salem","SalemCounty","34033",136,9.13,17
"16","Somerset","SomersetCounty","34035",331,12.53,39
"17","Sussex","SussexCounty","34037",274,6.94,45
"18","Union","UnionCounty","34039",671,13.44,135
"19","Warren","WarrenCounty","34041",324,12.43,49
"20","Morris","MorrisCounty","34027",533,9.88,84
"21","Middlesex","MiddlesexCounty","34023",1676,14.11,203
